Rank,Country,Score,GDP,Social,LifeExpectancy,FreedomOfChoice,Generosity,Corruption
1,Finland,7.632,1.305,1.592,0.874,0.681,0.202,0.393
2,Norway,7.594,1.456,1.582,0.861,0.686,0.286,0.34
3,Denmark,7.555,1.351,1.59,0.868,0.683,0.284,0.408
4,Iceland,7.495,1.343,1.644,0.914,0.677,0.353,0.138
5,Switzerland,7.487,1.42,1.549,0.927,0.66,0.256,0.357
6,Netherlands,7.441,1.361,1.488,0.878,0.638,0.333,0.295
7,Canada,7.328,1.33,1.532,0.896,0.653,0.321,0.291
8,New Zealand,7.324,1.268,1.601,0.876,0.669,0.365,0.389
9,Sweden,7.314,1.355,1.501,0.913,0.659,0.285,0.383
10,Australia,7.272,1.34,1.573,0.91,0.647,0.361,0.302
11,United Kingdom,7.19,1.244,1.433,0.888,0.464,0.262,0.082
12,Austria,7.139,1.341,1.504,0.891,0.617,0.242,0.224
13,Costa Rica,7.072,1.01,1.459,0.817,0.632,0.143,0.101
14,Ireland,6.977,1.448,1.583,0.876,0.614,0.307,0.306
15,Germany,6.965,1.34,1.474,0.861,0.586,0.273,0.28
16,Belgium,6.927,1.324,1.483,0.894,0.583,0.188,0.24
17,Luxembourg,6.91,1.576,1.52,0.896,0.632,0.196,0.321
18,United States,6.886,1.398,1.471,0.819,0.547,0.291,0.133
19,Israel,6.814,1.301,1.559,0.883,0.533,0.354,0.272
20,United Arab Emirates,6.774,2.096,0.776,0.67,0.284,0.186,0
21,Czech Republic,6.711,1.233,1.489,0.854,0.543,0.064,0.034
22,Malta,6.627,1.27,1.525,0.884,0.645,0.376,0.142
23,France,6.489,1.293,1.466,0.908,0.52,0.098,0.176
24,Mexico,6.488,1.038,1.252,0.761,0.479,0.069,0.095
25,Chile,6.476,1.131,1.331,0.808,0.431,0.197,0.061
~,
131,Chad,4.301,0.358,0.907,0.053,0.189,0.181,0.06
132,Congo (Kinshasa),4.245,0.069,1.136,0.204,0.312,0.197,0.052
133,India,4.19,0.721,0.747,0.485,0.539,0.172,0.093
134,Niger,4.166,0.131,0.867,0.221,0.39,0.175,0.099
135,Uganda,4.161,0.322,1.09,0.237,0.45,0.259,0.061
136,Benin,4.141,0.378,0.372,0.24,0.44,0.163,0.067
137,Sudan,4.139,0.605,1.24,0.312,0.016,0.134,0.082
138,Ukraine,4.103,0.793,1.413,0.609,0.163,0.187,0.011
139,Togo,3.999,0.259,0.474,0.253,0.434,0.158,0.101
140,Guinea,3.964,0.344,0.792,0.211,0.394,0.185,0.094
141,Lesotho,3.808,0.472,1.215,0.079,0.423,0.116,0.112
142,Angola,3.795,0.73,1.125,0.269,0,0.079,0.061
143,Madagascar,3.774,0.262,0.908,0.402,0.221,0.155,0.049
144,Zimbabwe,3.692,0.357,1.094,0.248,0.406,0.132,0.099
145,Afghanistan,3.632,0.332,0.537,0.255,0.085,0.191,0.036
146,Botswana,3.59,1.017,1.174,0.417,0.557,0.042,0.092
147,Malawi,3.587,0.186,0.541,0.306,0.531,0.21,0.08
148,Haiti,3.582,0.315,0.714,0.289,0.025,0.392,0.104
149,Liberia,3.495,0.076,0.858,0.267,0.419,0.206,0.03
150,Syria,3.462,0.689,0.382,0.539,0.088,0.376,0.144
151,Rwanda,3.408,0.332,0.896,0.4,0.636,0.2,0.444
152,Yemen,3.355,0.442,1.073,0.343,0.244,0.083,0.064
153,Tanzania,3.303,0.455,0.991,0.381,0.481,0.27,0.097
154,South Sudan,3.254,0.337,0.608,0.177,0.112,0.224,0.106
155,Central African Republic,3.083,0.024,0,0.01,0.305,0.218,0.038
156,Burundi,2.905,0.091,0.627,0.145,0.065,0.149,0.076
